listings.id,listings.host_id,listings.property_type,listings.room_type,listings.accommodates,listings.price,listings.security_deposit,listings.cleaning_fee,listings.guests_included,listings.extra_people,listings.minimum_nights,listings.availability_365,listings.cancellation_policy,listings.neighborhood_id
14895510,4064919,P1,R2,2,45,100,20,1,20,2,0,C3,126
8099614,31977444,P1,R1,4,129,500,80,1,0,3,279,C2,126
2198953,9406905,P1,R1,5,130,100,50,4,25,2,125,C2,126
3345223,7519116,P1,R1,4,110,120,50,4,30,2,289,C1,126
16839692,51566645,P1,R1,6,69,400,39,2,20,1,210,C1,126
13571941,3169140,P1,R1,4,150,150,80,1,0,2,11,C2,126
5672345,29409792,P1,R1,5,165,750,65,3,25,2,324,C1,126
9529964,2665289,P1,R1,7,150,500,75,2,25,3,5,C2,126
6290441,1806982,P1,R1,5,170,250,80,2,25,1,9,C1,126
6150893,4653633,P1,R1,8,150,100,75,2,10,2,315,C2,126
18385472,30431390,P1,R1,6,179,250,69,1,0,2,346,C1,126
7421326,5050949,P1,R1,6,200,200,80,2,5,2,334,C2,126
3800675,7405220,P1,R1,8,300,300,50,1,0,1,356,C2,126
17605683,61837692,P1,R1,4,80,100,100,2,25,3,303,C1,126
3775725,19360882,P1,R1,2,89,95,15,2,45,1,323,C2,126
14556304,90128865,P3,R2,2,45,100,10,1,10,2,298,C1,53
13387556,56334214,P1,R1,6,138,500,69,4,10,3,75,C1,53
1427950,1222412,P1,R1,2,120,200,50,1,10,1,340,C2,53
15544164,21246250,P1,R1,2,90,500,10,1,0,2,57,C1,53
8429035,18021362,P1,R1,4,300,400,100,1,0,1,159,C2,53
8428505,18021362,P1,R2,2,150,200,75,1,0,2,340,C2,53
17710429,210954,P1,R1,3,80,200,60,2,10,1,3,C2,53
4862952,5997132,P1,R1,6,320,400,100,4,40,1,363,C2,53
16229723,26543301,P1,R1,6,61,200,50,4,20,2,61,C3,53
11506193,48324178,P1,R1,2,99,100,20,1,20,1,38,C3,53
9403751,3592548,P8,R2,2,41,100,35,2,10,2,129,C3,53
15841070,7552580,P3,R1,6,250,500,75,4,100,3,53,C1,53
17955831,749384,P1,R1,6,100,100,19,5,5,2,43,C1,53
16443323,36733029,P1,R1,2,95,500,75,1,0,2,11,C1,53
14691533,8052444,P1,R1,2,140,100,20,1,0,3,72,C2,53
11641955,37399163,P3,R1,2,80,150,15,2,10,1,137,C3,53
8432433,44402249,P1,R1,4,150,99,69,4,69,2,56,C2,53
231411,1210000,P1,R1,2,735,706,260,2,74,2,198,C1,1
1254739,6835128,P1,R1,6,989,700,330,1,100,3,285,C1,1
